drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
RILONACEPT	DRUG:RILONACEPT	CHEMBL1201830	L04AC04	L	Antineoplastic and immunomodulating agents
ALMITRINE	DRUG:ALMITRINE	CHEMBL1183717	R07AB07	R	Respiratory system
DONANEMAB	DRUG:DONANEMAB	CHEMBL4297245	N06DX05	N	Nervous system
REPOTRECTINIB	DRUG:REPOTRECTINIB	CHEMBL4298138	L01EX28	L	Antineoplastic and immunomodulating agents
TALQUETAMAB	DRUG:TALQUETAMAB	CHEMBL4594503	L01FX29	L	Antineoplastic and immunomodulating agents
SODIUM GLYCEROPHOSPHATE	DRUG:SODIUM GLYCEROPHOSPHATE	CHEMBL6067979	B05XA14	B	Blood and blood forming organs
ADAGRASIB	DRUG:ADAGRASIB	CHEMBL4594350	L01XX77	L	Antineoplastic and immunomodulating agents
RITUXIMAB	DRUG:RITUXIMAB	CHEMBL1201576	L01FA01	L	Antineoplastic and immunomodulating agents
OCRELIZUMAB	DRUG:OCRELIZUMAB	CHEMBL2108041	L04AG08	L	Antineoplastic and immunomodulating agents
BASILIXIMAB	DRUG:BASILIXIMAB	CHEMBL1201439	L04AC02	L	Antineoplastic and immunomodulating agents
BELIMUMAB	DRUG:BELIMUMAB	CHEMBL1789843	L04AG04	L	Antineoplastic and immunomodulating agents
ENFORTUMAB VEDOTIN	DRUG:ENFORTUMAB VEDOTIN	CHEMBL3301589	L01FX13	L	Antineoplastic and immunomodulating agents
EVOLOCUMAB	DRUG:EVOLOCUMAB	CHEMBL2364655	C10AX13	C	Cardiovascular system
BEVACIZUMAB	DRUG:BEVACIZUMAB	CHEMBL1201583	L01FG01	L	Antineoplastic and immunomodulating agents
ANIFROLUMAB	DRUG:ANIFROLUMAB	CHEMBL2364653	L04AG11	L	Antineoplastic and immunomodulating agents
NATALIZUMAB	DRUG:NATALIZUMAB	CHEMBL1201607	L04AG03	L	Antineoplastic and immunomodulating agents
ALEMTUZUMAB	DRUG:ALEMTUZUMAB	CHEMBL1201587	L04AG06	L	Antineoplastic and immunomodulating agents
PENCICLOVIR	DRUG:PENCICLOVIR	CHEMBL1540	J05AB13	J	Antiinfectives for systemic use
DOXORUBICIN	DRUG:DOXORUBICIN	CHEMBL53463	L01DB01	L	Antineoplastic and immunomodulating agents
GRISEOFULVIN	DRUG:GRISEOFULVIN	CHEMBL562	D01BA01	D	Dermatologicals
AMOXICILLIN	DRUG:AMOXICILLIN	CHEMBL1082	J01CA04	J	Antiinfectives for systemic use
CARISOPRODOL	DRUG:CARISOPRODOL	CHEMBL1233	M03BA72	M	Musculo-skeletal system
DULAGLUTIDE	DRUG:DULAGLUTIDE	CHEMBL2108027	A10BJ05	A	Alimentary tract and metabolism
BUPRENORPHINE	DRUG:BUPRENORPHINE	CHEMBL511142	N07BC01	N	Nervous system
CYCLOPHOSPHAMIDE	DRUG:CYCLOPHOSPHAMIDE	CHEMBL1200796	L01AA01	L	Antineoplastic and immunomodulating agents
ACYCLOVIR	DRUG:ACYCLOVIR	CHEMBL184	S01AD03	S	Sensory organs
MODAFINIL	DRUG:MODAFINIL	CHEMBL1373	N06BA07	N	Nervous system
CLOTRIMAZOLE	DRUG:CLOTRIMAZOLE	CHEMBL104	A01AB18	A	Alimentary tract and metabolism
CIPROFLOXACIN	DRUG:CIPROFLOXACIN	CHEMBL8	J01MA02	J	Antiinfectives for systemic use
EPERISONE	DRUG:EPERISONE	CHEMBL1902981	M03BX09	M	Musculo-skeletal system
BENZONATATE	DRUG:BENZONATATE	CHEMBL1374379	R05DB01	R	Respiratory system
PROBENECID	DRUG:PROBENECID	CHEMBL897	M04AB01	M	Musculo-skeletal system
VARDENAFIL	DRUG:VARDENAFIL	CHEMBL1520	G04BE09	G	Genito-urinary system and sex hormones
METFORMIN	DRUG:METFORMIN	CHEMBL1431	A10BA02	A	Alimentary tract and metabolism
TRANEXAMIC ACID	DRUG:TRANEXAMIC ACID	CHEMBL877	B02AA02	B	Blood and blood forming organs
CEFTAZIDIME	DRUG:CEFTAZIDIME	CHEMBL44354	J01DD02	J	Antiinfectives for systemic use
